,city,latitude,longitude,max_temperature,humidity,cloudiness,wind_speed
317,Ballina,-28.87,153.57,20.0,64,12,4.1
318,Tete,-16.16,33.59,32.16,40,80,1.18
319,Yuanping,38.72,112.76,17.71,16,0,4.98
320,Araouane,18.9,-3.53,35.97,12,32,5.91
321,Malmo,55.61,13.0,12.78,66,97,5.1
322,Luanda,-8.84,13.23,28.0,78,75,3.6
323,Barra dos Coqueiros,-10.91,-37.04,26.24,83,47,3.03
324,Muros,42.78,-9.06,12.78,100,90,2.1
325,São Filipe,14.9,-24.5,23.53,76,94,3.84
326,Oranjemund,-28.55,16.43,22.12,60,33,1.12
327,Doka,13.52,35.77,36.86,12,61,4.72
328,Mayo,38.89,-76.51,9.44,87,1,2.76
329,Iquique,-20.22,-70.14,21.0,68,90,3.6
330,Tabou,4.42,-7.35,28.33,78,48,0.57
331,Haridwar,29.97,78.17,36.73,13,100,3.31
332,Cockburn Town,21.46,-71.14,25.67,82,2,5.89
333,Waipawa,-41.41,175.52,19.0,59,98,11.8
334,Épernay,49.05,3.95,16.11,81,33,2.88
335,Riviere-au-Renard,49.0,-64.4,-2.0,68,5,2.6
336,Sāyla,22.55,71.47,40.81,9,2,5.72
337,Namatanai,-3.67,152.43,28.65,73,95,2.77
338,Lensk,60.73,114.93,3.37,69,94,3.26
339,Mathbaria,22.29,89.96,31.6,48,32,8.94
340,Maniwaki,46.38,-75.97,-1.75,93,97,2.19
341,Guerrero Negro,27.98,-114.06,15.25,78,12,6.14
342,Balsas,-7.53,-46.04,23.08,86,100,1.37
343,Xudat,41.63,48.68,8.57,76,100,0.98
344,Pemangkat,1.17,108.97,28.13,82,88,4.91
345,Antofagasta,-23.65,-70.4,18.0,77,90,2.1
346,Moerai,-22.43,-151.33,27.32,82,16,1.92
347,Baruun-Urt,46.68,113.28,15.85,16,0,6.05
348,Kortkeros,61.81,51.58,0.0,88,20,3.0
349,Inverell,-29.78,151.12,19.44,49,0,1.15
350,Hobyo,5.35,48.53,31.32,59,76,4.74
351,Grand Gaube,-20.01,57.66,29.0,66,40,8.7
352,Dudinka,69.41,86.18,-7.0,92,75,10.0
353,General Roca,-39.03,-67.58,12.0,66,80,1.0
354,Port-Gentil,-0.72,8.78,26.0,88,20,3.83
355,Saldanha,-33.01,17.94,18.0,93,15,1.0
356,Port Hardy,50.7,-127.42,2.0,74,5,1.5
357,Jumilla,38.48,-1.32,16.67,93,98,0.5
358,Tricase,39.93,18.36,18.33,59,5,2.1
359,Dakar,14.69,-17.44,21.0,94,64,4.65
360,Yuza,39.0,139.92,10.0,71,75,4.1
361,Tocopilla,-22.09,-70.2,18.84,53,30,0.53
362,Chapaevsk,52.98,49.71,10.0,69,40,4.0
363,Fécamp,49.76,0.37,17.22,76,0,1.5
364,Oktyabr'skiy,54.48,53.47,11.48,42,84,6.71
365,Caldwell,43.66,-116.69,7.0,26,1,5.7
366,Tuy Hoa,13.08,109.3,28.63,71,67,4.53
367,Ürümqi,43.8,87.6,18.0,19,3,2.0
368,Bystryy Istok,52.37,84.39,9.52,51,0,3.77
369,Kot Diji,27.34,68.71,37.0,27,21,4.1
370,Ndola,-12.96,28.64,24.56,44,97,2.65
371,Rafaela,-31.25,-61.49,15.56,60,43,0.45
372,Acaponeta,22.5,-105.36,15.9,60,23,1.19
373,Buta,2.79,24.73,22.82,85,100,1.66
374,Krasnosel'kup,65.7,82.47,-0.72,99,100,1.25
375,Sinegor'ye,62.08,150.48,-7.25,87,9,1.83
376,Ola,59.58,151.28,-7.01,94,27,1.82
377,George Town,5.41,100.34,34.0,67,40,3.1
378,Māngrol,21.12,70.12,33.78,34,0,6.01
379,Pierre,44.37,-100.35,-0.56,86,90,9.3
380,Willmar,45.12,-95.04,3.0,80,90,7.2
381,Baijiantan,45.63,85.18,20.24,22,30,2.18
382,Tommot,58.96,126.29,2.93,70,100,3.83
383,Sharan,54.82,54.0,11.41,42,98,6.34
384,Nemuro,43.32,145.57,4.0,51,20,2.1
385,Touros,-5.2,-35.46,24.0,94,40,2.1
386,Kimbe,-5.55,150.14,26.26,84,80,0.85
387,Richards Bay,-28.78,32.04,29.18,47,0,4.04
388,Kuala Kedah,6.1,100.3,34.0,71,40,4.1
389,Cabo San Lucas,22.89,-109.91,17.22,72,36,1.79
390,Paragominas,-2.97,-47.48,22.89,96,100,1.0
391,Linxia Chengguanzhen,35.6,103.21,15.35,15,96,4.2
392,Bauchi,10.5,10.0,32.31,10,96,4.33
393,Mandalgovi,45.76,106.27,12.66,18,99,7.15
394,Nioro,13.35,-15.75,25.71,53,22,2.17
395,Vrangel',42.73,133.08,5.33,66,0,2.86
396,Elban,50.1,136.51,10.25,43,0,2.35
397,Lebu,-37.62,-73.65,8.21,80,2,4.35
398,Tiksi,71.69,128.87,-16.51,89,27,3.13
399,Plaster Rock,46.91,-67.39,-2.0,73,1,1.5
400,Cabras,39.93,8.53,19.83,36,52,2.29
401,Vao,-22.67,167.48,25.4,77,32,5.68
402,Palu,-0.89,119.87,29.38,61,4,1.34
403,Esperance,-33.87,121.9,26.0,57,81,5.1
404,Kruisfontein,-34.0,24.73,23.11,48,100,11.13
405,Hazorasp,41.32,61.07,17.0,51,46,4.1
406,Miyako,39.64,141.95,7.48,76,94,2.45
407,Half Moon Bay,37.46,-122.43,13.33,93,90,2.1
408,San Policarpo,12.18,125.51,28.31,66,55,3.48
409,Hualmay,-11.1,-77.61,21.74,82,4,3.13
410,Havøysund,71.0,24.66,-1.0,54,100,3.6
411,Urengoy,65.97,78.37,-2.6,95,100,3.25
412,Natal,-5.79,-35.21,24.0,94,40,2.1
413,Bambous Virieux,-20.34,57.76,29.0,66,40,8.7
414,Uvalde,29.37,-99.77,23.33,100,90,3.1
415,Mehamn,71.04,27.85,-2.34,93,100,4.12
416,Bartlesville,36.75,-95.98,16.0,82,20,4.1
417,Gohpur,26.88,93.63,30.0,45,75,3.6
418,Guhāgar,17.48,73.19,32.88,49,0,6.66
419,Nome,64.5,-165.41,-1.0,92,90,4.6
420,Bulgan,48.81,103.53,14.05,20,28,2.67
421,Talnakh,69.49,88.4,-7.0,92,75,10.0
422,Pareora,-44.49,171.21,17.78,45,100,2.24
423,Bilma,18.69,12.92,31.75,11,100,4.89
424,Sangar,63.92,127.47,0.03,90,69,6.86
425,Cayenne,4.93,-52.33,26.0,83,89,1.5
426,Griffith,41.53,-87.42,10.0,81,90,2.6
427,Bodden Town,19.28,-81.25,27.22,88,20,2.6
428,Khorinsk,52.17,109.77,12.42,34,51,5.63
429,Bereda,43.27,-7.54,13.89,100,90,0.54
430,Borba,-4.39,-59.59,23.03,98,93,0.47
431,Lieksa,63.32,30.02,2.75,70,100,6.85
432,Barsovo,61.17,73.17,12.0,37,94,5.0
433,Burgeo,47.62,-57.62,-0.29,96,38,6.79
434,Loíza,18.43,-65.88,27.0,88,20,3.51
435,Zhezkazgan,47.8,67.71,12.0,58,90,3.0
436,California City,35.13,-117.99,14.0,58,40,5.7
437,Avila,40.58,-5.0,11.0,93,72,1.5
438,Upata,8.01,-62.4,19.85,82,100,2.87
439,Atbasar,51.8,68.33,13.6,45,30,4.76
440,Ciudad Guayana,8.35,-62.65,21.19,88,100,2.48
441,Shawville,45.6,-76.48,0.56,85,71,1.77
442,Salta,-24.79,-65.41,11.0,93,0,1.0
443,Westerly,41.38,-71.83,4.44,78,1,0.87
444,Shimoda,34.67,138.95,12.0,81,75,6.2
445,Benguela,-12.58,13.41,28.38,67,42,0.99
446,Borda da Mata,-22.27,-46.17,13.89,92,2,0.65
447,Brae,60.4,-1.35,6.0,75,100,10.8
448,Nautla,20.22,-96.78,26.33,75,0,5.68
449,Ashland,40.82,-82.27,9.44,42,90,3.6
450,Nebolchi,59.12,33.35,4.7,61,63,2.85
451,Piancó,-7.2,-37.93,22.49,85,92,0.92
452,Saravan,39.72,45.65,12.0,46,75,2.1
453,San Quintín,30.48,-115.95,14.43,82,47,5.74
454,Yankton,42.87,-97.4,1.0,86,90,8.7
455,Belmonte,-15.86,-38.88,24.0,94,75,2.6
456,Iquitos,-3.75,-73.25,24.0,94,40,1.0
457,Lagoa,39.05,-27.98,15.92,79,3,4.18
458,Daru,-9.08,143.21,26.91,84,66,4.4
459,North Myrtle Beach,33.82,-78.68,20.0,77,20,2.1
460,Hong Kong,22.29,114.16,25.56,46,6,6.7
461,Flinders,-34.58,150.86,18.33,48,0,4.1
462,Ābādān,30.34,48.3,30.0,17,0,4.1
463,Bubaque,11.28,-15.83,25.69,70,0,1.9
464,Can Tho,10.03,105.78,33.77,48,78,3.93
465,Bermeo,43.42,-2.72,15.0,100,75,0.5
466,São Lourenço do Sul,-31.37,-51.98,14.46,90,13,2.44
467,Casa Nova,-9.42,-41.13,23.7,76,100,3.42
468,Nuuk,64.18,-51.72,4.0,86,100,7.7
469,Westport,41.14,-73.36,7.78,74,1,2.18
470,Olinda,-8.01,-34.86,28.0,74,20,1.5
471,Aykhal,66.0,111.5,3.0,47,92,4.0
472,Okhotsk,59.38,143.3,-2.6,95,85,3.41
473,Simao,22.79,100.97,28.83,18,97,2.74
474,San Cristobal,7.77,-72.22,19.79,61,91,0.95
